OWNERSHIP_TYPE,BUILDING_USE,LEASED,AGENCY,OWNERNAME,OWNERNAME2,ASSESSMENT,TAX_RATE,ANNUAL_TAX,RES,CONDO_LOT,LOT_SF,BOOK,PAGE,CONDO_REGIME,CONDO_BOOK,CONDO_PAGE,COMMENT_,PART_LOT,WARD,ANC,COMMENCE,EXPIRATION,LEASE,x,y
PRIVATE,TRANSPORTATION,Y,DCPS,CLH NEW YORK AVE LLC,,472220,1.65,7791.64,,N,9375,,,,,,NEW YORK AVENUE TERMINAL.  TRANSPORTATION BUS LOT,N,5,ANC 5D,,,N,,
PRIVATE,OFFICE,N,OCTFME,JEMALS TEB LLC,,7398090,1.77,41310.24,,N,132175,,,,,,FORMER BET HEADQUARTERS / BET NETWORKS,N,5,ANC 5C,,,N,,
PRIVATE,SHELTER,Y,DHS,CITYPARTNERS 5914 LLC,,0,0,0,,N,11073,,,,,,ALABAMA AVENUE FAMILY EMERGENCY HOUSING,N,8,ANC 8C,,,N,,
PRIVATE,PUBLIC SCHOOL,N,DCPS,"STEVENS SCHOOL HOLDINGS, LLC",,17872650,1.89,337793.1,,N,16064,,,,,,STEVENS ELEMENTARY SCHOOL,N,2,ANC 2A,,,N,,
PRIVATE,LIBRARY,M,DCPL,CONSORTIUM TWO 1990 K ST LLC,,70249340,1.89,1327712.54,,N,38176,166,31,,,,"LIBRARY EXPRESS.  Lower Level:  Lease Commence = 8/12/2016, Expiration = 9/30/2020",N,2,ANC 2C,7/6/2016,9/29/2020,N,,
PRIVATE,OFFICE,Y,DOES,1722 EYE STREET ASSOCIATES LIMITED PARTNERSHIP,,43786425,1.89,827563.44,,N,19613,171,45,,,,AMERICAN JOB CENTER / US VETERANS ASSISTANCE CENTER VA REGIONAL OFFICE,N,2,ANC 2C,,,N,,
PRIVATE,OFFICE,Y,HSEMA,1717 H 1 LLC,,97849430,1.89,1849354.24,,N,34680,3373,O,,,,"HSEMA: United States Border Patrol (USBP), Council-the Inspectors General, International Joint Commission, National Capital Region Training Operations U.S. Section, Floor 1",N,2,ANC 2C,7/28/2022,9/29/2024,FILE_ID: 0729221,,
PRIVATE,OFFICE,N,DGS,17M ASSOCIATES & DISTRICT OF COLUMBIA,,112221920,1.89,1467048.44,,N,38130,3731,l,,,,SUMNER SQUARE.  STUDIOS ARCHITECTURE / GARAGE.  MULTIPLE ADDRESSES,N,2,ANC 2C,,,N,,
PRIVATE,OFFICE,Y,HBX,1100 15TH STREET LLC,,739280920,1.89,13972409.4,,N,92895,,,,,,HEALTH BENEFIT EXCHANGE AUTHORITY (8TH FLOOR).  LEASED BUILDING,N,2,ANC 2C,,,N,,
PRIVATE,OFFICE,Y,BEGA,REEP-OFC 1030 15NW DC LLC,,147605150,1.89,2789737.34,,N,18646,3817,X,,,,"Board of Ethics and Government Accountability (BEGA DC)The Executive Building, Floor 7.",N,2,ANC 2C,8/28/2022,4/29/2035,FILE_ID: 0829221,,
